"optimal" "dWSurv_opt" "fixed00" "fixed01" "fixed10" "fixed11"
"1" 7.83599840988597 7.66326253483824 7.34028110759811 6.90900380244869 7.05764610235795 7.50585287454239
"2" 7.07166899799194 7.56434774929465 7.08768344141252 7.12696190840734 7.26414703103383 6.8065431236825
"3" 7.22824519610338 7.17425073652818 7.18687233694363 7.44295272533318 7.26720719490482 6.89950504817025
"4" 7.47116406525504 7.4887598697245 7.09418278483129 7.45633219792446 7.42800400967448 7.68066607563531
"5" 7.03445699958494 7.05362886549872 6.56121343878842 7.43799474205232 7.17185806740894 6.84184590085343
"6" 7.14472272209629 6.83728013767631 7.26776429067067 6.73119319574254 7.44922659573885 7.14956220967823
"7" 6.89603910950743 6.34204392774521 6.34815297594305 5.57879665139184 6.24340670193774 6.32967193430828
"8" 7.38540021477616 7.39020834857218 7.19628425573779 7.03645841341316 7.53780747485639 7.26531282998677
"9" 6.98028963959325 7.12217687029011 6.52172158485932 7.37585639972863 6.27669977629523 6.84821264979794
"10" 6.99546595920011 7.46258778318462 7.09609131065773 6.76988909031792 6.76444683580721 7.18561169134753
"11" 7.5504648004628 7.25628797066909 6.80447358409706 6.90701095483179 6.75978433518803 7.1134276838683
"12" 6.49760483415213 6.24411967186609 5.85992409611728 6.04699830294675 6.89085430398285 6.09559270555071
"13" 6.30554703083388 7.03009357351914 6.6291323482953 6.51300421755226 6.81535495151481 7.04081903421948
"14" 6.92109002703481 7.35927233600222 6.86037494984127 6.51809061198936 7.00796996373405 7.75047460382565
"15" 6.86837602850952 7.00147205653954 6.93479333921439 6.41816575032367 7.67091800217676 7.31122685820585
"16" 6.96477171046464 6.79351512890444 7.02255599710819 6.67995340798148 7.46566068887184 6.66587631876982
"17" 6.35275101337705 6.40317244560943 6.56773455799974 5.97395043151785 6.99932523514559 6.62246249505819
"18" 7.08420145963911 6.73401300192554 6.06032938217964 6.96892250725946 6.83703280966656 6.40054126280415
"19" 6.56800530645055 6.39640960674036 6.46876125126237 6.68631601274063 6.28268916458484 6.72489341187211
"20" 7.22102924632847 6.39477542156294 6.60316382554815 6.74562860584125 6.7836682202103 7.6338679902591
"21" 6.69290327812773 6.7491285781096 6.93378529683475 6.36034175962721 7.203348922725 7.02157432114993
"22" 5.66178141593386 7.17466346289323 6.82483188636984 6.29417589114508 6.52212223704874 6.4847158385456
"23" 7.07101101416556 7.52198966788685 6.73079913722333 6.44282959301177 6.52610852920604 6.68952986379896
"24" 7.10065348847691 6.36275226583667 6.92106230877431 6.77902328186653 7.04548461486413 7.40571783439179
"25" 7.5061987741958 7.24842050362428 6.50063535335747 7.61030551539867 7.28628944519146 7.63658436882533
"26" 5.96429594357726 6.89276835066917 6.03094136509564 5.59462045079292 6.70963662666734 6.68062349344862
"27" 6.41821015244344 7.22985965488946 6.32066426948622 6.10641094635104 7.22078950479306 6.57142640216692
"28" 6.92889045448596 7.69044905705107 6.47760790699743 7.0558656752268 7.24274287456577 6.93865749447985
"29" 6.73059602637697 7.09085441978969 7.00572013540749 6.39620991736615 6.62844188850808 6.47120838989566
"30" 5.92307356676183 6.82516810845271 6.46504582855545 6.11614525783681 6.55258369517641 5.99633117485772
"31" 6.75752769817246 6.5888421091473 6.68807350367856 6.34967194534261 6.71841135857469 6.91612984464822
"32" 7.38521441632501 6.50845570623875 6.68850073214925 7.24423011522708 7.20767775679493 7.19803359972619
"33" 6.27466820943894 6.62930199729486 6.76545449334873 6.52284010308491 7.29770833242131 6.69789724240791
"34" 7.65082961286438 6.92559016880326 7.56812444944632 6.66873361880484 7.05577292357844 7.62520579338168
"35" 7.12295686494815 7.76571015062187 6.76591899857206 6.97262959370675 7.35540840160347 6.70756123203462
"36" 7.06724148799462 6.87627739035981 6.74440641380611 6.71610979190325 7.55946386583175 6.84812391359819
"37" 7.55055430828398 6.92400690852416 6.98442612120197 7.15291149838037 7.67965015710999 7.0716817924796
"38" 7.2811011572233 7.36704055210162 7.31743616871681 7.03717959560548 7.25971172859165 6.69879913150664
"39" 6.5236596712043 6.70702212245044 6.19094712879895 6.56751469020119 6.86699997077849 5.95167672613921
"40" 6.66031076139652 5.85959133039135 6.65099613721626 5.61767133035149 6.17545142547922 5.40157432466421
"41" 7.45161055734707 7.20436497840077 7.34001243113022 6.68289238758325 7.3770819587628 7.40186853867593
"42" 7.93289992806431 7.05202226650992 7.14525456956697 7.05057459658642 7.37244943430266 7.40596687763863
"43" 7.00235788265705 6.67114056747889 6.42826360296642 6.34958367050946 7.21674315881481 6.70176685495835
"44" 7.13316695635244 6.73741213181632 7.04371386301931 6.88014505234975 6.46706927743168 7.28534176357512
"45" 7.76762381717964 7.61405658093148 7.1574192983381 7.44575841280477 7.32152160302443 7.2623411478062
"46" 6.85633318765528 6.85966583519532 6.82300280990606 7.03700341051165 7.37072947237785 6.87912523915507
"47" 7.19122467456515 7.4924606790649 6.88055184640571 7.18799650879414 7.45012047537082 7.36953485259597
"48" 6.58347917012621 6.45471767108325 6.68932814729759 6.58031356644211 6.36137845102955 6.51452985274909
"49" 6.71835981154612 7.86703600360086 7.07399852141369 6.87559473625207 6.95382579082792 7.09210993167161
"50" 6.48824026027892 6.50125868171554 6.51722874707172 6.70806848645692 7.19364587330484 7.0674733748944
"51" 6.85691697802852 7.26678009763242 7.2422535587714 6.96006080661507 7.26117689537299 6.96580608341937
"52" 7.2534631303315 6.72681277870191 6.67998926983295 6.07324304862673 5.93936507034216 6.58486084023333
"53" 6.10421669257744 6.32900311853283 6.32347557850867 6.20279675846916 6.65997927181326 6.45822954300889
"54" 7.04260644139315 6.77707860825443 6.46320284171543 6.85496546637689 6.6530563038311 6.89594730425532
"55" 7.22569068932437 7.37168274116804 6.85057012235478 7.10367259440469 7.06893729385494 7.27587981188182
