"optimal" "dWSurv_opt" "Huang_opt" "fixed00" "fixed01" "fixed10" "fixed11"
"1" 7.48755188634796 6.77299324852454 6.83105137230368 7.04272087347367 6.56701007498821 7.22539544216314 6.79896731401215
"2" 7.23218471117686 7.24325744368525 7.34814384175636 7.40400224726019 7.12046090233688 7.57049655404949 7.17460647613615
"3" 7.17784303034391 7.29273230873842 6.98059992789176 7.36307740711182 7.40243455350383 7.39100395649591 7.22689059881748
"4" 7.25762616222746 7.41451243948532 6.58860193318543 6.90848260807828 6.56069734060549 6.75267067070565 7.58929098371067
"5" 7.32172178614763 7.5126257824847 6.785641087271 7.3247464583985 6.62738788051033 6.94657863393812 7.29072156941249
"6" 7.7066988641693 6.93751487197415 7.34083064141534 6.67052288560156 7.11113566343629 7.27432134003141 7.67200550347227
"7" 7.53709333804019 7.15772501601726 7.16327877522975 6.78365183953849 6.90520421960366 6.55089818135776 7.36383249271167
"8" 7.23233489337767 7.43559934031201 7.2987458029149 7.00887362174211 6.98881742463331 6.99260764840739 7.01860601680807
"9" 7.60753032822824 7.54308274626 7.79791407564645 7.24434620781471 7.36049777847158 7.2049156817639 7.22773990617936
"10" 7.5139718705512 7.00627223099437 7.70186823412565 6.69858789084665 7.0195948184685 7.71443804816229 7.40429502861979
"11" 6.1014367305262 6.36889212248409 6.49550190354227 6.40244219550723 5.90306406389353 6.41369288694513 6.51866548592801
"12" 7.13695328794869 7.55816020946239 7.30662701326032 7.65209367998971 7.56811525095573 7.43287242880716 7.68603927773885
"13" 6.90397332611386 6.74927327128066 6.82686637017377 6.39035695115767 7.17686271943269 6.8115469922528 6.30611784876316
"14" 6.53494341086332 7.03376128554179 6.37931251941901 6.64541036662177 7.07896167380585 6.55451963404019 7.06406106241937
"15" 6.94886132690809 7.54679207465914 7.16118092621166 7.1754650867369 6.86759055255634 7.36005887088715 7.66127028608782
"16" 7.55952759647428 7.42060394314039 7.33492230725985 6.76678566536756 7.56775114313786 7.34294431341435 7.53586616496255
"17" 7.52679279753377 7.29466458938048 7.00502161470261 7.49757283061443 6.99746310951344 6.70898400119339 7.06012786189971
"18" 7.11795167523789 7.39744159617346 7.35409579147922 7.58539274022992 7.89459025482893 7.18883768463975 7.57697524074288
"19" 7.2536222010758 6.96304727737103 6.84606613960406 6.68420645238191 7.13387828490696 7.17835111111127 7.04100315108978
"20" 7.36610954937352 6.96292650421135 7.13843851113366 7.35566770472712 7.20264002502391 6.89414569418875 7.22899175792581
"21" 7.29897015506691 7.43242062305691 7.00718981799464 6.67507672487812 6.55059086853345 7.33224497973059 6.88716559046801
"22" 7.67975627985184 7.4357360628428 7.37028501190309 6.65628782914541 7.6293340314272 7.65323399125536 7.33116336841388
"23" 6.42852927066269 7.09523616163767 6.33087329138664 6.32888425106508 6.9595526117857 6.60554197955285 7.20386685911203
"24" 6.80690794548963 7.05241146308034 7.04851099108321 6.44415917898869 6.80157135197557 6.57500064254165 7.07479483808086
"25" 7.21035624290417 6.59561702430156 6.59908413968388 6.73935340721508 6.67345003085624 6.43862421088416 6.4111339588669
"26" 6.69459521544831 7.87130209589014 6.74593553850111 6.77604697258468 6.99196857135088 7.60676739073499 7.8545982911054
"27" 6.98974407722152 7.67737442665793 6.93544133516798 7.05239304684166 7.25805711173778 7.08851690681178 7.36954568568342
"28" 6.63684577768155 7.38302954432855 7.2710511122125 7.1977112632878 6.63024198530036 6.74278421074584 7.22546053635404
"29" 7.36373324177601 7.32376771654328 7.10553857065209 6.28960469385046 6.23852553068796 7.4470350837336 7.325296278701
"30" 7.11473569990192 6.83262908979906 6.85489489703032 6.83691349591481 6.64107937035362 6.62880036948732 6.91258899993209
"31" 6.2763684948186 6.49956718159957 6.44217506116719 6.46607788699617 6.20154844685334 6.61223872248074 6.34345485051348
"32" 7.50496956297346 6.95257458458629 6.93885226543243 7.13701164060891 6.9087249893163 6.84469336809579 6.83251183426411
