"optimal" "dWSurv_opt" "Huang_opt" "fixed00" "fixed01" "fixed10" "fixed11"
"1" 7.49978634824101 7.21428128378104 7.41689743861944 7.30772901330003 7.07125104302272 7.79444832265784 7.30393326688238
"2" 6.40097579521209 6.79161674092307 6.7403483346489 7.04607013843695 6.52352285694113 7.21623388152162 7.51960769213834
"3" 6.57760558155444 6.40700589348275 6.32010352587139 6.20953578041239 6.69163312145567 7.12954686165007 6.04592190841539
"4" 7.27216475737397 7.54368294807139 7.28667644464031 7.41979738191639 7.27157461443351 7.02867489547212 7.53425244413958
"5" 7.42371871457123 7.41450449192228 7.40446895906756 7.33971915082206 7.03923990162154 6.98286286258779 7.16818912661976
"6" 7.0360974526782 6.76746580062656 7.0907742204347 6.14824838131278 6.17062896053391 6.47906325431947 6.84249443734792
"7" 7.35367781482887 7.24769747293772 7.0004722589588 6.79008987507952 7.19375674635601 7.25914709431739 7.75104334048592
"8" 7.33717967603824 7.79687374707813 7.24725575869388 6.65668642585998 7.58439478500211 7.11228073880659 7.43776252589542
"9" 6.55719117142504 7.21494065348954 7.13085372216421 6.87903308062895 6.73499805826125 6.88576095811267 7.0557033998393
"10" 6.71502560734713 7.82213725752526 7.12817210241082 6.87072149974803 7.2203798634049 7.30765355278989 6.85255202403037
"11" 7.25348453557305 7.05052932884785 6.84565055500987 6.4235900493304 6.99266246390652 7.20463310654153 7.05079998285757
"12" 7.33645662468984 7.28326650226558 7.19757110610352 6.53127318537476 6.74858983580911 6.49636022776949 6.86396489371671
"13" 7.21768685621875 7.04394541183374 6.97861756532951 8.1264160771235 6.78652795819604 7.22873035689875 7.03138842668244
"14" 7.24617542706451 7.10377263220744 7.14991229292109 7.58164647996122 7.25392716183329 7.13105788109543 8.05703683988645
"15" 7.18625832599983 6.99334973830941 6.94252448387176 7.34847051420512 6.63700223962077 6.97393813899011 6.68748816056025
"16" 6.22886416213743 6.58820601772293 6.56522018192457 6.10305512951823 6.24559131281257 6.86012088868079 6.40235498812884
"17" 6.96463413798163 6.89548122137823 6.80544012072512 7.36317308842231 7.49284961526691 7.37734361304074 6.93334919628563
"18" 7.25594164059498 6.70898264823927 6.88613007788499 7.01803371520403 6.90377966350379 7.09435368000101 7.54145238351142
"19" 6.53928391880468 6.57061179794421 6.57731486517151 6.59330185104587 6.81167970836258 6.51549175572419 7.30252401805084
"20" 6.74518938263452 7.06034045865785 6.87598521957557 6.51309342385098 6.77385355323957 7.17658572241791 6.5340522457052
"21" 7.2896782843093 7.14527594288311 7.44902864153055 6.91585745991787 7.20808802127215 7.32273799362161 7.12937716792954
"22" 7.06969463342641 7.03838529650538 6.69673390555734 6.810112969341 6.88587509520096 7.11446145166984 7.17567200957478
"23" 7.76186208631285 7.14777619832357 6.77813849527925 7.16407600774244 6.87577657794417 7.66060836244896 7.68637942316024
"24" 6.67020373639566 6.75080041956906 7.0814155405711 6.87921738783258 6.64336459735097 6.75096681370654 6.74850298875601
