"optimal" "dWSurv_opt" "fixed00" "fixed01" "fixed10" "fixed11"
"1" 7.37335860069345 7.15647579722717 7.85211525725872 7.22307115449178 7.39519024640885 7.16761373680505
"2" 6.53093302174522 7.14284219933059 6.74203491214722 6.98462570837869 6.84381881252818 6.56286080080562
"3" 6.37272914231878 6.6823351577448 6.75487569499263 6.46216552582838 6.86388611787503 7.00933908020536
"4" 6.97427792756043 7.48694363069159 7.29422835546494 7.78124693361151 7.27544420077676 6.90802998147355
"5" 6.86903361315652 6.90235773187304 6.74608614681473 6.52131852181552 7.03228533463464 7.47590048943815
"6" 7.98094864217277 7.07139408715628 7.15418673622606 7.17739238141405 7.19535140193644 7.21760064495208
"7" 6.76682698401442 6.59748643573546 6.6929044870487 6.22058400284688 7.18603521552485 6.5145478659697
"8" 7.36070549315271 7.45152420679741 7.00320973087601 7.11119192328522 7.0828810891344 6.86653608591373
"9" 7.27106286622068 7.86805549403883 7.11415270578078 6.95901755277203 7.83997739171216 7.25334161234241
"10" 7.07911830039467 6.56212990798141 6.92327393323217 6.28111740999643 6.21027587886508 7.02014263606219
"11" 6.92050564702907 6.69392704146791 6.44823173632638 7.53353847314116 7.12797016420628 7.12355909820396
"12" 6.99518840126192 7.52460951151953 6.74090550698781 6.59299434863409 6.6902765866731 7.1585501037014
"13" 7.10560905296107 7.55672319303347 7.16679769765283 6.89480635428068 7.1429673227078 7.62715091609464
"14" 6.65460951261153 5.8787805736707 6.61391373597556 5.98761128148872 6.25275111834484 5.9625744463501
"15" 7.2775078253883 6.84258410238819 7.19378989239286 7.57719626915284 7.20572959075623 7.29965138050048
"16" 7.59258830187864 6.96703661484222 6.80616030470942 6.57282565937711 7.62251205095135 7.83150050867866
"17" 6.67724087172993 7.02933817149993 7.20864437873199 7.28587389093485 7.2742854387481 7.06732174878174
"18" 7.62619708950678 6.97667764060576 7.14154209710854 7.09497144890404 7.34444209597825 6.94718680696211
"19" 5.81431443719701 6.63619353417985 6.16789311434373 6.02400451750492 6.56617592907302 6.69695829685537
"20" 6.77090528645449 6.52001475330731 7.12623083683047 6.80777268289364 6.98735804781333 6.4611027898637
"21" 6.39411368030877 6.71405048925787 6.70297919017383 6.78295861900301 6.61150681809564 7.17475154255558
"22" 7.32214492781939 6.75347495595158 6.54986384294328 6.93414895024902 7.38672484884344 7.23920176858484
