"V1" "V2" "V3"
"1" 1 0.922305764411028 0.922305764411028
"2" 1 1 1
"3" 1 0.922779922779923 0.922779922779923
"4" 1 0.9675 0.9675
"5" 1 0.982278481012658 0.982278481012658
"6" 1 0.8725 0.8725
"7" 1 0.890818858560794 0.890818858560794
"8" 1 0.986402966625464 0.986402966625464
"9" 1 0.94327990135635 0.94327990135635
"10" 1 0.978643216080402 0.978643216080402
"11" 1 0.859848484848485 0.859848484848485
"12" 1 0.970479704797048 0.970479704797048
"13" 1 0.946317103620474 0.946317103620474
"14" 0.974 0.996212121212121 0.96969696969697
"15" 1 0.982608695652174 0.982608695652174
"16" 1 0.808695652173913 0.808695652173913
"17" 1 0.9514687100894 0.9514687100894
"18" 1 0.952261306532663 0.952261306532663
"19" 1 0.953601953601954 0.953601953601954
"20" 1 0.959131545338442 0.959131545338442
"21" 1 0.920984455958549 0.920984455958549
"22" 1 0.944091486658196 0.944091486658196
"23" 1 0.996259351620948 0.996259351620948
"24" 1 0.824189526184539 0.824189526184539
"25" 1 0.816793893129771 0.816793893129771
"26" 1 0.944306930693069 0.944306930693069
"27" 0.937 0.896894409937888 0.839751552795031
"28" 1 0.991217063989962 0.991217063989962
"29" 1 0.982256020278834 0.982256020278834
"30" 1 0.986301369863014 0.986301369863014
"31" 1 0.97747183979975 0.97747183979975
"32" 1 0.850617283950617 0.850617283950617
"33" 1 0.992546583850932 0.992546583850932
"34" 1 0.915601023017903 0.915601023017903
"35" 1 0.9812734082397 0.9812734082397
"36" 1 0.974747474747475 0.974747474747475
"37" 1 0.944020356234097 0.944020356234097
"38" 1 0.993670886075949 0.993670886075949
"39" 1 0.928921568627451 0.928921568627451
"40" 1 0.968434343434343 0.968434343434343
"41" 1 0.89707750952986 0.89707750952986
"42" 1 0.997503121098627 0.997503121098627
"43" 1 0.927318295739348 0.927318295739348
"44" 1 0.903474903474903 0.903474903474903
"45" 1 0.994987468671679 0.994987468671679
"46" 1 0.966376089663761 0.966376089663761
"47" 1 0.964019851116625 0.964019851116625
"48" 1 0.988535031847134 0.988535031847134
"49" 1 0.941534713763703 0.941534713763703
"50" 1 0.975888324873096 0.975888324873096
"51" 1 0.997395833333333 0.997395833333333
