"V1" "V2" "V3"
"1" 1 1 1
"2" 1 0.977011494252874 0.977011494252874
"3" 1 0.842424242424242 0.842424242424242
"4" 0.988 0.969512195121951 0.957317073170732
"5" 1 0.961111111111111 0.961111111111111
"6" 1 0.939226519337017 0.939226519337017
"7" 1 0.955056179775281 0.955056179775281
"8" 1 0.76878612716763 0.76878612716763
"9" 1 0.914772727272727 0.914772727272727
"10" 1 0.958115183246073 0.958115183246073
"11" 1 0.925714285714286 0.925714285714286
"12" 1 0.913265306122449 0.913265306122449
"13" 1 0.977401129943503 0.977401129943503
"14" 1 0.925531914893617 0.925531914893617
"15" 1 0.964285714285714 0.964285714285714
"16" 1 0.978142076502732 0.978142076502732
"17" 1 0.965853658536585 0.965853658536585
"18" 0.79 0.978378378378378 0.913513513513514
"19" 1 0.983606557377049 0.983606557377049
"20" 0.652 0.915492957746479 0.788732394366197
"21" 1 0.978609625668449 0.978609625668449
"22" 1 0.924623115577889 0.924623115577889
"23" 0.69 0.864583333333333 0.703125
"24" 1 0.953488372093023 0.953488372093023
"25" 1 0.912371134020619 0.912371134020619
"26" 1 0.946808510638298 0.946808510638298
"27" 1 1 1
"28" 1 0.921465968586387 0.921465968586387
"29" 0.816 0.948571428571429 0.857142857142857
"30" 0.752 0.965714285714286 0.857142857142857
"31" 1 0.940119760479042 0.940119760479042
"32" 1 0.947058823529412 0.947058823529412
"33" 1 0.994974874371859 0.994974874371859
"34" 1 0.966850828729282 0.966850828729282
"35" 1 0.978494623655914 0.978494623655914
"36" 1 0.978494623655914 0.978494623655914
"37" 0.884 0.899038461538462 0.846153846153846
"38" 1 0.930851063829787 0.930851063829787
"39" 0.952 0.861386138613861 0.841584158415842
"40" 1 0.943502824858757 0.943502824858757
"41" 1 1 1
"42" 1 0.961538461538462 0.961538461538462
"43" 1 0.962365591397849 0.962365591397849
"44" 1 0.994708994708995 0.994708994708995
"45" 1 0.953757225433526 0.953757225433526
"46" 1 0.919786096256685 0.919786096256685
"47" 1 0.965714285714286 0.965714285714286
"48" 1 0.99438202247191 0.99438202247191
"49" 1 0.858585858585859 0.858585858585859
"50" 1 0.947643979057592 0.947643979057592
"51" 1 0.964071856287425 0.964071856287425
"52" 1 0.770833333333333 0.770833333333333
"53" 0.908 1 0.958974358974359
"54" 0.804 0.983516483516483 0.868131868131868
"55" 1 0.883720930232558 0.883720930232558
"56" 1 0.917073170731707 0.917073170731707
"57" 1 0.975609756097561 0.975609756097561
"58" 1 0.965714285714286 0.965714285714286
"59" 1 0.963917525773196 0.963917525773196
"60" 1 0.881720430107527 0.881720430107527
"61" 1 0.994897959183674 0.994897959183674
"62" 1 0.759562841530055 0.759562841530055
"63" 1 0.863157894736842 0.863157894736842
"64" 1 0.950549450549451 0.950549450549451
"65" 1 0.748603351955307 0.748603351955307
"66" 1 0.857894736842105 0.857894736842105
"67" 1 0.922651933701657 0.922651933701657
"68" 1 1 1
"69" 1 0.806818181818182 0.806818181818182
"70" 0.652 0.904761904761905 0.703703703703704
"71" 1 0.989071038251366 0.989071038251366
"72" 1 0.989417989417989 0.989417989417989
"73" 1 0.993939393939394 0.993939393939394
"74" 1 0.91304347826087 0.91304347826087
"75" 1 0.967391304347826 0.967391304347826
"76" 1 0.904255319148936 0.904255319148936
"77" 1 0.921052631578947 0.921052631578947
"78" 1 0.96 0.96
"79" 1 0.914893617021277 0.914893617021277
"80" 1 0.979381443298969 0.979381443298969
"81" 1 0.960893854748603 0.960893854748603
"82" 1 0.994949494949495 0.994949494949495
"83" 1 0.983240223463687 0.983240223463687
"84" 1 0.912820512820513 0.912820512820513
"85" 1 0.927461139896373 0.927461139896373
"86" 1 1 1
"87" 1 0.818181818181818 0.818181818181818
"88" 0.764 0.949438202247191 0.859550561797753
"89" 0.722 0.982758620689655 0.867816091954023
"90" 1 0.919597989949749 0.919597989949749
