"V1" "V2" "V3"
"1" 1 0.949874686716792 0.949874686716792
"2" 1 0.974074074074074 0.974074074074074
"3" 1 0.922779922779923 0.922779922779923
"4" 1 0.98375 0.98375
"5" 1 0.982278481012658 0.982278481012658
"6" 1 0.91375 0.91375
"7" 1 0.901985111662531 0.901985111662531
"8" 1 0.993819530284302 0.993819530284302
"9" 1 0.909987669543773 0.909987669543773
"10" 1 0.979899497487437 0.979899497487437
"11" 1 0.901515151515151 0.901515151515151
"12" 1 0.982779827798278 0.982779827798278
"13" 1 0.99625468164794 0.99625468164794
"14" 1 0.97979797979798 0.97979797979798
"15" 1 0.993788819875776 0.993788819875776
"16" 1 0.836024844720497 0.836024844720497
"17" 1 0.956577266922095 0.956577266922095
"18" 1 0.959798994974874 0.959798994974874
"19" 1 0.964590964590965 0.964590964590965
"20" 1 0.9514687100894 0.9514687100894
"21" 1 0.930051813471503 0.930051813471503
"22" 1 0.978398983481576 0.978398983481576
"23" 1 0.996259351620948 0.996259351620948
"24" 1 0.856608478802993 0.856608478802993
"25" 1 0.83206106870229 0.83206106870229
"26" 1 0.95049504950495 0.95049504950495
"27" 1 0.91055900621118 0.91055900621118
"28" 1 0.961104140526976 0.961104140526976
"29" 1 0.992395437262357 0.992395437262357
"30" 1 0.951432129514321 0.951432129514321
"31" 1 0.971214017521902 0.971214017521902
"32" 1 0.854320987654321 0.854320987654321
"33" 0.861 0.985093167701863 0.854658385093168
"34" 1 0.939897698209719 0.939897698209719
"35" 1 0.968789013732834 0.968789013732834
"36" 1 0.984848484848485 0.984848484848485
"37" 1 0.936386768447837 0.936386768447837
"38" 1 0.993670886075949 0.993670886075949
"39" 1 0.943627450980392 0.943627450980392
"40" 1 0.984848484848485 0.984848484848485
"41" 1 0.907242693773825 0.907242693773825
"42" 1 0.991260923845193 0.991260923845193
"43" 1 0.93734335839599 0.93734335839599
"44" 1 0.940797940797941 0.940797940797941
"45" 1 0.992481203007519 0.992481203007519
"46" 1 0.991282689912827 0.991282689912827
"47" 1 0.955334987593052 0.955334987593052
"48" 1 0.993630573248408 0.993630573248408
"49" 1 0.956151035322777 0.956151035322777
"50" 1 0.977157360406091 0.977157360406091
"51" 1 0.98828125 0.98828125
"52" 1 0.985401459854015 0.985401459854015
"53" 1 0.889585947302384 0.889585947302384
"54" 1 0.887254901960784 0.887254901960784
"55" 1 0.908101571946796 0.908101571946796
"56" 1 0.973451327433628 0.973451327433628
"57" 1 0.983050847457627 0.983050847457627
"58" 0.933 1 0.932225063938619
"59" 1 0.84875 0.84875
"60" 1 0.896637608966376 0.896637608966376
"61" 1 0.943890274314214 0.943890274314214
"62" 1 0.932038834951456 0.932038834951456
"63" 1 0.895392278953923 0.895392278953923
"64" 1 0.995115995115995 0.995115995115995
"65" 1 0.962871287128713 0.962871287128713
"66" 1 0.967861557478368 0.967861557478368
"67" 1 0.924317617866005 0.924317617866005
"68" 1 0.850728155339806 0.850728155339806
"69" 1 0.977443609022556 0.977443609022556
"70" 1 0.886075949367089 0.886075949367089
"71" 1 0.950920245398773 0.950920245398773
"72" 0.703 0.995121951219512 0.698780487804878
"73" 1 0.974651457541191 0.974651457541191
"74" 1 0.940446650124069 0.940446650124069
"75" 1 0.99748427672956 0.99748427672956
"76" 0.913 0.957605985037406 0.875311720698254
"77" 1 0.941102756892231 0.941102756892231
"78" 1 0.948339483394834 0.948339483394834
"79" 1 0.963840399002494 0.963840399002494
"80" 1 0.975520195838433 0.975520195838433
"81" 0.931 1 0.929889298892989
"82" 1 0.9265605875153 0.9265605875153
"83" 1 0.991379310344828 0.991379310344828
"84" 1 0.909669211195929 0.909669211195929
"85" 1 0.948655256723716 0.948655256723716
"86" 1 0.994904458598726 0.994904458598726
"87" 1 0.954767726161369 0.954767726161369
"88" 1 0.938461538461538 0.938461538461538
"89" 1 0.995127892813642 0.995127892813642
"90" 1 0.858056265984655 0.858056265984655
"91" 1 0.975247524752475 0.975247524752475
